No,Age Range,SES Grade,Domicile,Gender,Job Status,Business Owned Key,Jenis bisnis apa yang Anda operasikan?,Berapa pendapatan tahunan bisnis Anda?,Di mana bisnis Anda berada?,Berapa anggaran pemasaran bulanan Anda?,Apakah Anda memiliki kantor cabang?,Apakah sudah memiliki tim internal kecil untuk bisnis Anda?,Berapa jumlah karyawan yang Anda miliki?,Apakah Anda pernah menggunakan freelancer (penyedia jasa) sebelumnya?,Dalam mencari solusi apakah Anda lebih memilih untuk:,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Masalah komunikasi,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Kualitas pekerjaan,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Memenuhi tenggat waktu,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Biaya,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Mencari keterampilan yang tepat,Seberapa sering Anda menggunakan layanan freelancer (penyedia jasa) untuk proyek Anda?,Jasa freelancer apa yang paling sering Anda gunakan?,Apa alasan utama Anda belum pernah menggunakan freelancer (penyedia jasa)?,Apa yang bisa membuat Anda mempertimbangkan untuk menggunakan freelancer (penyedia jasa) di masa depan?,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Desain logo,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Pengembangan website,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Strategi pemasaran,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Manajemen media sosial,Seberapa puas Anda dengan nilai yang diberikan oleh layanan freelancer (penyedia jasa) untuk uang yang Anda keluarkan?,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Lebih banyak sumber daya tutorial,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Dukungan pelanggan yang lebih baik,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Lebih banyak opsi freelancer,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Opsi harga yang fleksibel,Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Ulasan & Penilaian],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Kualitas Portofolio],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Harga],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Komunikasi],Bagaimana cara Anda dalam menyelesaikan masalah?,Seberapa mampu Anda membeli layanan freelancer (penyedia jasa) berdasarkan anggaran Anda saat ini?,Seberapa tertarik Anda menggunakan freelancer (penyedia jasa) untuk proyek Anda di masa depan?,Bagaimana Anda pertama kali mendengar tentang layanan freelancer (penyedia jasa)?,Platform freelancer (penyedia jasa) mana yang paling sering Anda gunakan?,Seberapa besar kemungkinan Anda merekomendasikan layanan freelancer (penyedia jasa) kepada teman dan keluarga Anda?,Apakah ada saran dan masukan untuk Sribu (Sribu.com)?,Platform freelancer,Platform freelancer1
208,25-30 tahun,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,,,,Biaya,,Tidak menentu,Pengembangan website,NA,NA,Desain logo,,Strategi pemasaran,,8,,Dukungan pelanggan yang lebih baik,,,5,5,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,5,Pencarian online,Sribu,8,Aplikasinya blm tersedia,Sribu,1
209,36-40 tahun,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,10-Jun,Ya,Mencari sendiri,,,,Biaya,,Harian,Pengembangan website,NA,NA,,Pengembangan website,,,7,,Dukungan pelanggan yang lebih baik,,,3,3,3,3,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,5,6,Teman atau kolega,Project.co.id,6,Tidak qdq,Other,0
210,31-35 tahun,Upper,DKI Jakarta,Perempuan,Pemilik usaha/Wiraswasta,Tidak,Kuliner,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Ya,Tidak,10-Jun,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,Biaya,Mencari keterampilan yang tepat,Tahunan,Penulisan konten,NA,NA,,,,Manajemen media sosial,8,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,5,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,8,Media sosial,Upwork,8,Buat paket bundle,Other,0
211,31-35 tahun,Upper,Bali,Perempuan,Bekerja penuh waktu,Ya,Berbasis layanan,Rp750 juta - Rp1.5 miliar,Bali,Rp7.500.000 - Rp15.000.000,Ya,Ya,21-50,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,Biaya,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,4,5,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,9,Media sosial,Sribu,8,Lebih banyak lagi menyediakan opsi opsi ketrampilan,Sribu,1
212,31-35 tahun,Middle,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Bandung,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,Masalah komunikasi,,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Triwulanan,Penulisan konten,NA,NA,Desain logo,,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,10,Media sosial,Project.co.id,9,"adanya promo
 serta promosi di medsos agar lebih banyak orang yg tau",Other,0
213,36-40 tahun,Upper,Banten,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,Diberi rekomendasi,,,,,,NA,NA,Biaya terlalu tinggi,Rekomendasi dari teman atau kolega,Desain logo,,Strategi pemasaran,,5,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,,3,3,3,3,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,8,Pencarian online,Project.co.id,6,harga lebih bisa bersaing,Other,0
214,36-40 tahun,Upper,Jawa Tengah,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Other,Rp1.5 miliar - Rp7.5 miliar,Salatiga,Kurang dari Rp7.500.000,Tidak,Tidak,21-50,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Jaminan kualitas pekerjaan,,,Strategi pemasaran,,6,,Dukungan pelanggan yang lebih baik,,,4,4,3,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,6,Iklan,Tidak ada,5,"Lebih masif untuk pengenalan jasa, baru kali ini tahu ada Sribu.com. Sebelumnya tidak pernah mendengar",Tidak ada,0
215,25-30 tahun,Middle,Sumatera Utara,Perempuan,Tidak bekerja,Ya,Berbasis layanan,Kurang dari Rp750 juta,Medan,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Diberi rekomendasi,,,,,,NA,NA,Biaya terlalu tinggi,Rekomendasi dari teman atau kolega,,,Strategi pemasaran,,5,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,4,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,10,Media sosial,Project.co.id,8,Semakin maju dan berpihak ke pengausaha,Other,0
216,41-45 tahun,Middle,Jawa Timur,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Semarang,Rp7.500.000 - Rp15.000.000,Ya,Ya,Lebih dari 100,Ya,Mencari sendiri,,Kualitas pekerjaan,,,,Harian,Pengembangan website,NA,NA,,Pengembangan website,,,10,,Dukungan pelanggan yang lebih baik,,,5,5,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,10,10,Pencarian online,Fiverr,10,Semoga semakin maju dan berkembang,Other,0
217,31-35 tahun,Upper,Jawa Barat,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Biaya terlalu tinggi,Harga yang lebih terjangkau,,,,Manajemen media sosial,5,,Dukungan pelanggan yang lebih baik,,,4,4,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,5,9,Media sosial,Project.co.id,10,Dari segi desain website sudah baik dan jelas dalam pemetaan layanan yang diberikan,Other,0
218,41-45 tahun,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Tidak,Other,Kurang dari Rp750 juta,Bandung,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,20-Nov,Ya,Diberi rekomendasi,,,Memenuhi tenggat waktu,,,Mingguan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,Manajemen media sosial,10,,Dukungan pelanggan yang lebih baik,,,5,5,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Teman atau kolega,Sribu,10,Tingkatkan kualitas dan layanan,Sribu,1
219,25-30 tahun,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,Berbasis layanan,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Informasi lebih lanjut tentang manfaat menggunakan freelancer,Desain logo,,Strategi pemasaran,Manajemen media sosial,5,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,3,3,3,3,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,5,5,Iklan,Project.co.id,5,Dilengkapi,Other,0
220,25-30 tahun,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,Masalah komunikasi,,,Biaya,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,,Lebih banyak opsi freelancer,,5,4,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,8,Media sosial,Project.co.id,8,Lebih mudah untuk bertransaksi,Other,0
221,31-35 tahun,Middle,Riau,Laki-Laki,Bekerja penuh waktu,Ya,Berbasis layanan,Kurang dari Rp750 juta,Bengkalis,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak pernah memerlukan layanan tersebut,Rekomendasi dari teman atau kolega,Desain logo,,Strategi pemasaran,,5,,Dukungan pelanggan yang lebih baik,,,5,4,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,6,7,Teman atau kolega,Upwork,6,"Tidak ada, karena belum pernah menggunakannya",Other,0
222,41-45 tahun,Upper,Sumatera Selatan,Laki-Laki,Tenaga lepas (freelancer),Ya,E-commerce,Kurang dari Rp750 juta,Palembang,Kurang dari Rp7.500.000,Tidak,Ya,10-Jun,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,Mencari keterampilan yang tepat,Bulanan,Desain logo,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,10,10,Media sosial,Fastwork,10,"Saran, Ditingkatkan Lagi Untuk Promo promo Setiap bulan nya.",Other,0
223,31-35 tahun,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,Manufaktur,Rp1.5 miliar - Rp7.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,Lebih dari 100,Ya,Diberi rekomendasi,Masalah komunikasi,,Memenuhi tenggat waktu,,,Mingguan,Pengembangan website,NA,NA,Desain logo,Pengembangan website,,,10,,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,10,10,Pencarian online,Fastwork,10,Mantap,Other,0
224,41-45 tahun,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Rp15.000.000 - Rp75.000.000,Ya,Ya,21-50,Tidak,Diberi rekomendasi,,,,,,NA,NA,Tidak pernah memerlukan layanan tersebut,Rekomendasi dari teman atau kolega,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,4,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,9,9,Teman atau kolega,Project.co.id,10,Mencari solusi yang akurat,Other,0
225,25-30 tahun,Middle,Banten,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,10-Jun,Ya,Diberi rekomendasi,Masalah komunikasi,,,Biaya,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,9,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,,5,4,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,10,Media sosial,Project.co.id,10,Terus tingkatkan layanan terbaiknya,Other,0
226,31-35 tahun,Middle,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp7.5 miliar - Rp15 miliar,Jabodetabek,Rp75.000.000 - Rp150.000.000,Ya,Ya,51-100,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,Biaya,Mencari keterampilan yang tepat,Mingguan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Iklan,Project.co.id,10,"Pelayanan dan kerja yang sangat baik dan teliti sekali,saya merekomendasikannya",Other,0
227,31-35 tahun,Upper,Jawa Tengah,Laki-Laki,Bekerja penuh waktu,Tidak,E-commerce,Kurang dari Rp750 juta,Semarang,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,,,,Mingguan,Manajemen media sosial,NA,NA,,,,Manajemen media sosial,8,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,4,4,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,6,9,Media sosial,Project.co.id,8,Kurang menarik perhatian. Dri segi berandnya,Other,0
228,25-30 tahun,Middle,Jawa Barat,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Bandung,Rp7.500.000 - Rp15.000.000,Tidak,Ya,10-Jun,Ya,Mencari sendiri,,,,Biaya,,Bulanan,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,4,3,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,9,Media sosial,Sribu,10,Sejauh ini udah cukup bagus,Sribu,1
229,31-35 tahun,Middle,DI Yogyakarta,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Yogyakarta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak pernah memerlukan layanan tersebut,Jaminan kualitas pekerjaan,,,Strategi pemasaran,Manajemen media sosial,6,,Dukungan pelanggan yang lebih baik,,,5,5,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,5,5,Pencarian online,Tidak ada,5,Tidak ada,Tidak ada,0
230,41-45 tahun,Middle,Sumatera Selatan,Laki-Laki,Bekerja paruh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp75.000.000 - Rp150.000.000,Ya,Ya,51-100,Tidak,Diberi rekomendasi,,,,,,NA,NA,Khawatir tentang kualitas pekerjaan,Rekomendasi dari teman atau kolega,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,4,4,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,7,Teman atau kolega,Fastwork,8,Lebih friendly situs y,Other,0
231,25-30 tahun,Lower,Jawa Tengah,Perempuan,Tenaga lepas (freelancer),Ya,Berbasis layanan,Kurang dari Rp750 juta,Banyumas,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,,,,Biaya,Mencari keterampilan yang tepat,Tidak menentu,Manajemen media sosial,NA,NA,,,Strategi pemasaran,Manajemen media sosial,9,Lebih banyak sumber daya tutorial,,,Opsi harga yang fleksibel,5,5,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,10,Media sosial,Project.co.id,9,Tidak ada,Other,0
232,31-35 tahun,Lower,Sulawesi Selatan,Laki-Laki,Jenis pekerjaan yang dibayar lainnya,Ya,Kuliner,Kurang dari Rp750 juta,Makassar,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak yakin bagaimana mengelola freelancer,Informasi lebih lanjut tentang manfaat menggunakan freelancer,Desain logo,,Strategi pemasaran,Manajemen media sosial,1,,,,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,2,7,Teman atau kolega,Tidak ada,5,Perlu masukan yg bisa diberikan ke pengguna freelancer,Tidak ada,0
233,31-35 tahun,Upper,Banten,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Ya,Ya,Kurang dari 5,Ya,Mencari sendiri,Masalah komunikasi,,,,Mencari keterampilan yang tepat,Bulanan,Layanan SEO,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,,Dukungan pelanggan yang lebih baik,,,4,4,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,10,Media sosial,Project.co.id,8,freelancer.com,Other,0
234,25-30 tahun,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Jabodetabek,Rp15.000.000 - Rp75.000.000,Ya,Ya,21-50,Ya,Mencari sendiri,,,,,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,4,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,9,9,Media sosial,Sribu,8,Bisa lebih memperbanyak freelance yang ada,Sribu,1
235,25-30 tahun,Upper,Jawa Tengah,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Semarang,Rp7.500.000 - Rp15.000.000,Ya,Ya,10-Jun,Ya,Diberi rekomendasi,Masalah komunikasi,,,Biaya,,Bulanan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,,8,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,4,4,5,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Media sosial,Sribu,8,Lebih bagus jika profil penyedia layanan lebih lengkap lagi,Sribu,1
236,31-35 tahun,Middle,Banten,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Informasi lebih lanjut tentang manfaat menggunakan freelancer,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,9,Media sosial,Sribu,8,Tidakada,Sribu,1
237,36-40 tahun,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,10-Jun,Ya,Mencari sendiri,,Kualitas pekerjaan,,,Mencari keterampilan yang tepat,Mingguan,Layanan SEO,NA,NA,,Pengembangan website,,Manajemen media sosial,8,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,8,Media sosial,Sribu,8,Saran agar mengadakan pemeran lebih di kenal lagi,Sribu,1
238,41-45 tahun,Upper,Jawa Timur,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Surabaya,Rp7.500.000 - Rp15.000.000,Ya,Ya,20-Nov,Ya,Mencari sendiri,Masalah komunikasi,,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Harian,Pengembangan website,NA,NA,,Pengembangan website,,,9,Lebih banyak sumber daya tutorial,,Lebih banyak opsi freelancer,,3,4,4,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,9,7,Media sosial,Fastwork,8,Semoga lancar,Other,0
239,31-35 tahun,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,10-Jun,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,,,Tidak menentu,Pengembangan website,NA,NA,,,Strategi pemasaran,,10,Lebih banyak sumber daya tutorial,,,,5,4,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Teman atau kolega,Project.co.id,10,Lebih digencarkan LG demo untuk memperkenalkan supaya membuat orang tertarik menggunakan jasa daribsribu.com,Other,0
240,25-30 tahun,Lower,DKI Jakarta,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Jaminan kualitas pekerjaan,Desain logo,,,,8,,,Lebih banyak opsi freelancer,,4,4,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Media sosial,Sribu,8,Semoga lebih banyak lagi berkembang,Sribu,1
241,25-30 tahun,Upper,Jawa Barat,Laki-Laki,Mahasiswa/pelajar,Ya,Manufaktur,Kurang dari Rp750 juta,Bandung,Rp15.000.000 - Rp75.000.000,Tidak,Ya,20-Nov,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Mingguan,Desain logo,NA,NA,Desain logo,,,,10,Lebih banyak sumber daya tutorial,,,,5,4,3,3,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,6,6,Teman atau kolega,Fastwork,8,Permudah akses,Other,0
242,36-40 tahun,Upper,Jawa Barat,Perempuan,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,Biaya,Mencari keterampilan yang tepat,Tidak menentu,Desain logo,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,10,Media sosial,Sribu,8,Lebih banyak lagi freelancer yang kompeten,Sribu,1
243,25-30 tahun,Middle,Sumatera Selatan,Laki-Laki,Mahasiswa/pelajar,Ya,Non-profit,Rp750 juta - Rp1.5 miliar,Surabaya,Rp7.500.000 - Rp15.000.000,Tidak,Ya,20-Nov,Ya,Mencari sendiri,,Kualitas pekerjaan,,,,Harian,Manajemen media sosial,NA,NA,,Pengembangan website,,,10,,Dukungan pelanggan yang lebih baik,,,5,5,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,10,9,Media sosial,Upwork,10,"Saya pikir mungkin pekerjaan ini bisa saya lakukan, terlepas saya sendiri sejak dulu sering dan hobi dalam menulis. Namun ternyata tidaklah mudah. Banyak situs yang mempekerjakan freelancer dan mencari artikel, namun saya merasa tidak puas dengan budget yang ditawarkan. Ada juga yang menawarkan harga pas namun menuntut untuk selalu update setiap hari, sehingga cukup membuat saya kerepotan.",Other,0
244,25-30 tahun,Middle,Jawa Tengah,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Blora,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,Biaya,Mencari keterampilan yang tepat,Tidak menentu,Manajemen media sosial,NA,NA,,,,Manajemen media sosial,9,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,5,4,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,8,10,Media sosial,Other,10,"sudah baik,, d tingkatkan lagi playanannya..",Other,0
245,31-35 tahun,Middle,DKI Jakarta,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,10-Jun,Tidak,Mencari sendiri,,,,,,NA,NA,Khawatir tentang kualitas pekerjaan,Rekomendasi dari teman atau kolega,,,Strategi pemasaran,,6,Lebih banyak sumber daya tutorial,,,,4,5,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,6,6,Teman atau kolega,Project.co.id,7,Lebih banyak informasi yang diberikan,Other,0
246,25-30 tahun,Lower,Jawa Barat,Laki-Laki,Bekerja paruh waktu,Ya,Berbasis layanan,Rp750 juta - Rp1.5 miliar,Bandung,Kurang dari Rp7.500.000,Ya,Ya,10-Jun,Ya,Mencari sendiri,,,Memenuhi tenggat waktu,,,Tidak menentu,Penulisan konten,NA,NA,,,Strategi pemasaran,,10,,Dukungan pelanggan yang lebih baik,,,4,4,4,4,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,7,7,Pencarian online,Other,8,Tidak ada,Other,0
